country_code,year,illiterate_prop,age_group,sex
4,1970,88.31857302328345,20--64,Both
4,1975,82.90242811336279,20--64,Both
4,1980,77.95065810557197,20--64,Both
4,1985,73.4824543250626,20--64,Both
4,1990,69.51700809698633,20--64,Both
4,1995,66.11071680371515,20--64,Both
4,2000,63.32472346954665,20--64,Both
4,2005,61.18533788252082,20--64,Both
4,2010,59.71886983067761,20--64,Both
4,2015,58.95162910205702,20--64,Both
4,2020,52.003123600448305,20--64,Both
4,2025,48.70437518684278,20--64,Both
8,1970,46.052758312708846,20--64,Both
8,1975,38.44779363937214,20--64,Both
8,1980,31.412184483166726,20--64,Both
8,1985,24.946135750658282,20--64,Both
8,1990,19.049852348412472,20--64,Both
8,1995,13.77498012272287,20--64,Both
8,2000,9.204191818197549,20--64,Both
8,2005,5.384232688873919,20--64,Both
8,2010,2.3618479887893895,20--64,Both
8,2015,0.1837829719813728,20--64,Both
8,2020,0,20--64,Both
8,2025,0,20--64,Both
12,1970,74.17157528952575,20--64,Both
12,1975,65.44163859572076,20--64,Both
12,1980,57.309645785383175,20--64,Both
12,1985,49.77714455971966,20--64,Both
12,1990,42.84568261993692,20--64,Both
12,1995,36.537082471617204,20--64,Both
12,2000,30.882526373688336,20--64,Both
12,2005,25.89760165737543,20--64,Both
12,2010,21.597895653903564,20--64,Both
12,2015,17.99899569449786,20--64,Both
12,2020,7.828909126989638,20--64,Both
12,2025,1.571260082780976,20--64,Both
24,1970,73.16001064061118,20--64,Both
24,1975,64.61803406133374,20--64,Both
24,1980,56.981457165175414,20--64,Both
24,1985,50.2611376001789,20--64,Both
24,1990,44.46793301438689,20--64,Both
24,1995,39.627685557311416,20--64,Both
24,2000,35.76205690015138,20--64,Both
24,2005,32.875633973479864,20--64,Both
24,2010,30.973003707869935,20--64,Both
24,2015,30.058753033894686,20--64,Both
24,2020,19.468799350428213,20--64,Both
24,2025,14.66702276588073,20--64,Both
31,1970,50.53760606634528,20--64,Both
31,1975,42.174445784497784,20--64,Both
31,1980,34.34894493540437,20--64,Both
31,1985,27.06708193152924,20--64,Both
31,1990,20.33483518533663,20--64,Both
31,1995,14.2351158519083,20--64,Both
31,2000,8.891008671466555,20--64,Both
31,2005,4.3687524341863915,20--64,Both
31,2010,0.7345859302428133,20--64,Both
31,2015,0,20--64,Both
31,2020,0,20--64,Both
31,2025,0,20--64,Both
32,1970,6.895725933871486,20--64,Both
32,1975,6.198906701691415,20--64,Both
32,1980,5.493122625636021,20--64,Both
32,1985,4.776616034878787,20--64,Both
32,1990,4.047629258593201,20--64,Both
32,1995,3.3126697205928783,20--64,Both
32,2000,2.584184185691424,20--64,Both
32,2005,1.8693239945623104,20--64,Both
32,2010,1.1752404878790066,20--64,Both
32,2015,0.5090850063149847,20--64,Both
32,2020,0,20--64,Both
32,2025,0,20--64,Both
36,1970,1.5640276373959248,20--64,Both
36,1975,1.1813118120022577,20--64,Both
36,1980,0.8602303578422322,20--64,Both
36,1985,0.6008190526990801,20--64,Both
36,1990,0.4031136743560328,20--64,Both
36,1995,0.26527014052155334,20--64,Both
36,2000,0.1843030450604085,20--64,Both
36,2005,0.15853617999028477,20--64,Both
36,2010,0.18629333732886877,20--64,Both
36,2015,0.2658983090938472,20--64,Both
36,2020,0,20--64,Both
36,2025,0,20--64,Both
40,1970,1.5640276373959248,20--64,Both
40,1975,1.1813118120022577,20--64,Both
40,1980,0.8602303578422322,20--64,Both
40,1985,0.6008190526990801,20--64,Both
40,1990,0.4031136743560328,20--64,Both
40,1995,0.26527014052155334,20--64,Both
40,2000,0.1843030450604085,20--64,Both
40,2005,0.15853617999028477,20--64,Both
40,2010,0.18629333732886877,20--64,Both
40,2015,0.2658983090938472,20--64,Both
40,2020,0,20--64,Both
40,2025,0,20--64,Both
44,1970,8.221906765572484,20--64,Both
44,1975,7.288240255570901,20--64,Both
44,1980,6.451015250430278,20--64,Both
44,1985,5.710100202996351,20--64,Both
44,1990,5.065363566114854,20--64,Both
44,1995,4.513513724753574,20--64,Both
44,2000,4.049690582358381,20--64,Both
44,2005,3.6714098694921455,20--64,Both
44,2010,3.376187316717731,20--64,Both
44,2015,3.161538654598008,20--64,Both
44,2020,2.072270312903519,20--64,Both
44,2025,1.5125200754567996,20--64,Both
48,1970,42.92127810937485,20--64,Both
48,1975,35.31683751021048,20--64,Both
48,1980,28.615331782165455,20--64,Both
48,1985,22.822817123309374,20--64,Both
48,1990,17.945349731711808,20--64,Both
48,1995,13.938538199517017,20--64,Both
48,2000,10.723850802530777,20--64,Both
48,2005,8.256133264314968,20--64,Both
48,2010,6.490231308431465,20--64,Both
48,2015,5.380990658442148,20--64,Both
48,2020,0,20--64,Both
48,2025,0,20--64,Both
50,1970,73.73633272037907,20--64,Both
50,1975,72.8525402287692,20--64,Both
50,1980,71.04357039901943,20--64,Both
50,1985,68.31807815400686,20--64,Both
50,1990,64.6847184166086,20--64,Both
50,1995,60.100962766706964,20--64,Both
50,2000,54.488626261652286,20--64,Both
50,2005,47.8028790405238,20--64,Both
50,2010,39.99889124240067,20--64,Both
50,2015,31.031833006362113,20--64,Both
50,2020,32.51945627530366,20--64,Both
50,2025,27.81284046651468,20--64,Both
51,1970,48.48632308420946,20--64,Both
51,1975,39.149347248912676,20--64,Both
51,1980,30.88227865748094,20--64,Both
51,1985,23.68744291917672,20--64,Both
51,1990,17.56716564326247,20--64,Both
51,1995,12.486358104956757,20--64,Both
51,2000,8.3702967143658,20--64,Both
51,2005,5.161854783083525,20--64,Both
51,2010,2.8039056227038577,20--64,Both
51,2015,1.239322544820729,20--64,Both
51,2020,0,20--64,Both
51,2025,0,20--64,Both
56,1970,3.128055280443648,20--64,Both
56,1975,2.3626236267768435,20--64,Both
56,1980,1.720460716219948,20--64,Both
56,1985,1.2016381043660331,20--64,Both
56,1990,0.8062273468081699,20--64,Both
56,1995,0.5305402789935159,20--64,Both
56,2000,0.36860608862666516,20--64,Both
56,2005,0.31707235968684355,20--64,Both
56,2010,0.3725866761532772,20--64,Both
56,2015,0.5317966220051922,20--64,Both
56,2020,0,20--64,Both
56,2025,0,20--64,Both
64,1970,61.58322399157743,20--64,Both
64,1975,56.94565683370211,20--64,Both
64,1980,52.78955570930314,20--64,Both
64,1985,49.149240303564945,20--64,Both
64,1990,46.059030301671974,20--64,Both
64,1995,43.51794593139234,20--64,Both
64,2000,41.473579800141,20--64,Both
64,2005,39.8831101625727,20--64,Both
64,2010,38.703715273342155,20--64,Both
64,2015,37.89257338710412,20--64,Both
64,2020,32.432771836871,20--64,Both
64,2025,29.82059159458624,20--64,Both
68,1970,41.004989654706826,20--64,Both
68,1975,34.98066543525417,20--64,Both
68,1980,29.48416040281,20--64,Both
68,1985,24.512197460730917,20--64,Both
68,1990,20.0614995123735,20--64,Both
68,1995,16.151408602320817,20--64,Both
68,2000,12.814282046972808,20--64,Both
68,2005,10.066365657411389,20--64,Both
68,2010,7.923905244718464,20--64,Both
68,2015,6.403146619975954,20--64,Both
68,2020,0,20--64,Both
68,2025,0,20--64,Both
70,1970,15.568436622808367,20--64,Both
70,1975,13.559366962904065,20--64,Both
70,1980,11.64844097480748,20--64,Both
70,1985,9.83532018785823,20--64,Both
70,1990,8.119666131395924,20--64,Both
70,1995,6.509306053982431,20--64,Both
70,2000,5.018367093052429,20--64,Both
70,2005,3.655960611254754,20--64,Both
70,2010,2.4311979712382352,20--64,Both
70,2015,1.353190535651709,20--64,Both
70,2020,0,20--64,Both
70,2025,0,20--64,Both
72,1970,51.6263264899706,20--64,Both
72,1975,45.63613756495773,20--64,Both
72,1980,39.99847880468089,20--64,Both
72,1985,34.7117437195393,20--64,Both
72,1990,29.774325819932145,20--64,Both
72,1995,25.204560069255933,20--64,Both
72,2000,21.034261398891847,20--64,Both
72,2005,17.28204327121604,20--64,Both
72,2010,13.96651914860468,20--64,Both
72,2015,11.106302493433937,20--64,Both
72,2020,4.1823387026067245,20--64,Both
72,2025,0,20--64,Both
76,1970,30.579110490487416,20--64,Both
76,1975,27.228785599133733,20--64,Both
76,1980,24.04518705368892,20--64,Both
76,1985,21.02742628202651,20--64,Both
76,1990,18.174614712020013,20--64,Both
76,1995,15.497949158542195,20--64,Both
76,2000,13.01602266153225,20--64,Both
76,2005,10.739040986463367,20--64,Both
76,2010,8.677209898808716,20--64,Both
76,2015,6.840735164041484,20--64,Both
76,2020,3.0243410476286914,20--64,Both
76,2025,0.37738338343851374,20--64,Both
84,1970,21.934455611724708,20--64,Both
84,1975,20.557595942451986,20--64,Both
84,1980,18.924023144004934,20--64,Both
84,1985,17.027541363637212,20--64,Both
84,1990,14.861954748602502,20--64,Both
84,1995,12.442151778481573,20--64,Both
84,2000,9.80752099006595,20--64,Both
84,2005,6.98861661642541,20--64,Both
84,2010,4.015992890629735,20--64,Both
84,2015,0.9202040457487085,20--64,Both
84,2020,0,20--64,Both
84,2025,0,20--64,Both
90,1970,39.28791653778555,20--64,Both
90,1975,35.58986039952266,20--64,Both
90,1980,32.19661009547825,20--64,Both
90,1985,29.104233069347373,20--64,Both
90,1990,26.30879676482504,20--64,Both
90,1995,23.744404820030994,20--64,Both
90,2000,21.31378511843222,20--64,Both
90,2005,18.965941471744646,20--64,Both
90,2010,16.64987769168418,20--64,Both
90,2015,14.314597589966741,20--64,Both
90,2020,10.766641409166814,20--64,Both
90,2025,8.042830327945914,20--64,Both
100,1970,7.026514700426182,20--64,Both
100,1975,5.65384574531701,20--64,Both
100,1980,4.461964751962756,20--64,Both
100,1985,3.452514155655914,20--64,Both
100,1990,2.6271363916889756,20--64,Both
100,1995,1.982553962064654,20--64,Both
100,2000,1.5109205047601855,20--64,Both
100,2005,1.207025159029851,20--64,Both
100,2010,1.0656570641279313,20--64,Both
100,2015,1.0816053593087076,20--64,Both
100,2020,0,20--64,Both
100,2025,0,20--64,Both
104,1970,30.240831718235604,20--64,Both
104,1975,25.57286404545123,20--64,Both
104,1980,21.71309310104737,20--64,Both
104,1985,18.64635524998772,20--64,Both
104,1990,16.35748685723596,20--64,Both
104,1995,14.914028325178087,20--64,Both
104,2000,14.445669760565638,20--64,Both
104,2005,15.030472084910604,20--64,Both
104,2010,16.746496219724964,20--64,Both
104,2015,19.67180308652071,20--64,Both
104,2020,12.521761626668335,20--64,Both
104,2025,11.28318918699242,20--64,Both
108,1970,78.56496974874732,20--64,Both
108,1975,74.21055456208119,20--64,Both
108,1980,69.63291928151308,20--64,Both
108,1985,64.85360515023625,20--64,Both
108,1990,59.89415341144395,20--64,Both
108,1995,54.78064391636885,20--64,Both
