country_code,year,age_group,sex,saf_dhs_mics
4,2010,20--39,Female,0.09625858503346209
4,2010,20--64,Female,0.13769435454480933
4,2010,40--64,Female,0.0543729632875648
4,2010,20--39,Male,0.384663961296906
4,2010,20--64,Male,0.36513254720582616
4,2010,40--64,Male,0.27044194510951447
4,2010,20--39,Both,0.24051365236503985
4,2010,20--64,Both,0.25141815717265376
4,2010,40--64,Both,0.1623922140342939
4,2015,20--39,Female,0.11446415382418249
4,2015,20--64,Female,0.09889653211803608
4,2015,40--64,Female,0.047334649289568334
4,2015,20--39,Male,0.4041769774891566
4,2015,20--64,Male,0.37313158886368675
4,2015,40--64,Male,0.29732767764706947
4,2015,20--39,Both,0.25937362201076164
4,2015,20--64,Both,0.23601956589399528
4,2015,40--64,Both,0.17231297829279998
4,2020,20--39,Female,0.25319185041756703
4,2020,20--64,Female,0.26947276604320985
4,2020,40--64,Female,0.06668406897943693
4,2020,20--39,Male,0.5547244287676565
4,2020,20--64,Male,0.5120264684054661
4,2020,40--64,Male,0.29410010041872264
4,2020,20--39,Both,0.4040166778192993
4,2020,20--64,Both,0.3907549454667706
4,2020,40--64,Both,0.18037637943605098
8,2005,20--39,Female,0.9988347653325792
8,2005,20--64,Female,0.9999670297878419
8,2005,40--64,Female,1.0036438931712899
8,2005,20--39,Male,0.9997746327096585
8,2005,20--64,Male,0.9937170746923748
8,2005,40--64,Male,0.9923120374952127
8,2005,20--39,Both,0.9993295782000796
8,2005,20--64,Both,0.9968444535472851
8,2005,40--64,Both,0.9980144500298519
8,2020,20--39,Female,0.9962863161341635
8,2020,20--64,Female,0.9990981198681149
8,2020,40--64,Female,1.0046218712260617
8,2020,20--39,Male,0.9526332148506071
8,2020,20--64,Male,0.9457732012649481
8,2020,40--64,Male,0.9425199081215185
8,2020,20--39,Both,0.9744768510782515
8,2020,20--64,Both,0.9724371574308562
8,2020,40--64,Both,0.9736114430313418
12,2010,20--39,Female,0.8266535525869703
12,2010,20--64,Female,0.7952573528072302
12,2010,40--64,Female,0.5664542379686514
12,2010,20--39,Male,0.9203169036497375
12,2010,20--64,Male,0.9092043506666061
12,2010,40--64,Male,0.798469285511781
12,2010,20--39,Both,0.8735219209831975
12,2010,20--64,Both,0.8522350406634901
12,2010,40--64,Both,0.6824634104686969
12,2020,20--39,Female,0.8856740331476549
12,2020,20--64,Female,0.8506360035169069
12,2020,40--64,Female,0.6971239134293118
12,2020,20--39,Male,0.930760593328705
12,2020,20--64,Male,0.9230347112799951
12,2020,40--64,Male,0.8653414958266255
12,2020,20--39,Both,0.9082470454120046
12,2020,20--64,Both,0.8868388896181223
12,2020,40--64,Both,0.7812440553528814
24,2005,20--39,Female,0.4534304249504991
24,2005,20--64,Female,0.440593492149114
24,2005,40--64,Female,0.3982271118884339
24,2005,20--39,Male,0.7968916369896407
24,2005,20--64,Male,0.7932244732646663
24,2005,40--64,Male,0.8187886515378378
24,2005,20--39,Both,0.6252317927649341
24,2005,20--64,Both,0.6169168521477717
24,2005,40--64,Both,0.608488584790081
24,2010,20--39,Female,0.45087525349851554
24,2010,20--64,Female,0.4403876838895611
24,2010,40--64,Female,0.38271472517073085
24,2010,20--39,Male,0.7974305048491961
24,2010,20--64,Male,0.7872720207678789
24,2010,40--64,Male,0.7833634279620931
24,2010,20--39,Both,0.6242241141161319
24,2010,20--64,Both,0.6138376111088999
